iter	Passed	Remaining
0	1	163
1	2	146
2	4	137
3	5	126
4	6	124
5	7	123
6	9	123
7	10	121
8	11	119
9	13	118
10	14	116
11	15	115
12	16	113
13	18	111
14	19	110
15	20	108
16	22	107
17	23	106
18	24	106
19	26	105
20	27	103
21	28	102
22	30	100
23	31	99
24	32	97
25	33	96
26	35	94
27	36	93
28	37	92
29	38	90
30	40	89
31	41	88
32	42	86
33	44	85
34	45	84
35	46	82
36	47	81
37	49	80
38	50	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	57	70
45	59	69
46	60	68
47	61	66
48	62	65
49	64	64
50	65	63
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	74	53
58	75	52
59	76	51
60	77	49
61	79	48
62	80	47
63	81	45
64	82	44
65	84	43
66	85	42
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	93	34
73	94	33
74	95	31
75	96	30
76	97	29
77	99	27
78	100	26
79	101	25
80	102	24
81	104	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	111	15
88	112	13
89	114	12
90	115	11
91	116	10
92	117	8
93	119	7
94	120	6
95	122	5
96	123	3
97	126	2
98	128	1
99	130	0
