iter	Passed	Remaining
0	150	150395
1	153	76626
2	156	51870
3	163	40822
4	170	33883
5	185	30692
6	187	26657
7	191	23742
8	192	21241
9	195	19326
10	196	17660
11	197	16247
12	198	15047
13	199	14030
14	200	13159
15	201	12383
16	202	11704
17	203	11127
18	205	10599
19	206	10112
20	207	9662
21	208	9255
22	209	8884
23	210	8554
24	211	8243
25	212	7956
26	213	7706
27	215	7478
28	216	7256
29	220	7140
30	222	6968
31	225	6823
32	227	6668
33	229	6519
34	230	6356
35	231	6205
36	233	6084
37	234	5942
38	236	5817
39	237	5698
40	238	5578
41	239	5470
42	241	5365
43	242	5260
44	243	5160
45	245	5081
46	247	5022
47	249	4941
48	250	4855
49	251	4777
50	252	4700
51	253	4624
52	254	4549
53	255	4477
54	256	4407
55	257	4340
56	258	4282
57	260	4223
58	262	4182
59	263	4124
60	264	4067
61	265	4014
62	267	3976
63	268	3925
64	269	3876
65	271	3835
66	272	3790
67	273	3751
68	277	3739
69	278	3701
70	279	3662
71	281	3628
72	283	3595
73	284	3558
74	285	3520
75	286	3482
76	287	3450
77	288	3414
78	290	3381
79	292	3359
80	293	3326
81	294	3296
82	295	3259
83	297	3248
84	299	3218
85	300	3193
86	301	3168
87	303	3140
88	303	3111
89	309	3129
90	311	3113
91	313	3090
92	314	3070
93	316	3049
94	319	3040
95	321	3025
96	322	3006
97	324	2982
98	325	2958
99	326	2938
100	327	2914
101	328	2894
102	329	2873
103	331	2851
104	332	2835
105	335	2828
106	337	2812
107	338	2792
108	339	2774
109	341	2760
110	342	2744
111	343	2726
112	345	2709
113	346	2690
114	347	2674
115	349	2662
116	350	2647
117	352	2632
118	353	2614
119	354	2600
120	355	2585
121	356	2568
122	359	2564
123	361	2552
124	363	2543
125	364	2529
126	365	2513
127	366	2499
128	368	2485
129	369	2470
130	370	2456
131	371	2441
132	372	2425
133	373	2410
134	373	2396
135	375	2385
136	376	2371
137	378	2361
138	380	2356
139	381	2342
140	382	2328
141	382	2313
142	384	2305
143	386	2297
144	387	2286
145	388	2274
146	390	2266
147	391	2254
148	394	2252
149	395	2241
150	396	2229
151	397	2217
152	399	2210
153	400	2201
154	401	2190
155	403	2184
156	404	2173
157	405	2162
158	406	2150
159	409	2147
160	410	2137
161	411	2126
162	412	2115
163	413	2105
164	413	2094
165	415	2086
166	416	2076
167	417	2065
168	418	2056
169	419	2046
170	420	2037
171	421	2027
172	423	2022
173	424	2015
174	425	2007
175	426	1998
176	427	1988
177	428	1980
178	429	1972
179	430	1963
180	431	1954
181	432	1945
182	433	1936
183	434	1927
184	435	1919
185	436	1912
186	439	1910
187	440	1902
188	441	1893
189	442	1885
190	443	1878
191	444	1870
192	445	1861
193	446	1856
194	448	1850
195	450	1845
196	453	1848
197	454	1841
198	455	1833
199	456	1826
200	457	1819
201	460	1817
202	461	1812
203	462	1805
204	463	1798
205	464	1791
206	465	1784
207	467	1779
208	468	1773
209	469	1767
210	470	1760
211	471	1752
212	472	1746
213	473	1740
214	475	1736
215	476	1729
216	477	1723
217	478	1716
218	479	1709
219	480	1703
220	481	1698
221	484	1696
222	485	1691
223	486	1686
224	489	1685
225	490	1680
226	492	1677
227	494	1672
228	495	1668
229	498	1668
230	499	1663
231	501	1658
232	502	1653
233	504	1651
234	505	1645
235	506	1640
236	508	1636
237	509	1631
238	510	1626
239	513	1627
240	515	1622
241	516	1617
242	517	1612
243	518	1607
244	521	1607
245	523	1606
246	525	1601
247	527	1600
248	529	1597
249	530	1592
